ticker,hypothesis,action,qty,price,price_favorable,session
CNTA,Broad-watch baseline,partial,50.0000,40.5000,40.5000,2026-06-25
CNTA,Broad-watch baseline,mtm,50.0000,40.5000,40.5000,2026-06-29
GTX,Broad-watch baseline,exit,100.0000,33.3600,33.3600,2026-06-23
WULF,Broad-watch baseline,exit,100.0000,24.0950,24.0950,2026-06-10
XMAX,Broad-watch baseline,exit,100.0000,8.4100,8.4100,2026-06-29
CNTA,Broad-watch baseline,partial,50.0000,40.5000,40.5000,2026-06-25
CNTA,Broad-watch baseline,mtm,50.0000,40.5000,40.5000,2026-06-29
FROG,Broad-watch baseline,partial,50.0000,94.8100,94.8100,2026-07-02
FROG,Broad-watch baseline,mtm,50.0000,94.8100,94.8100,2026-07-02
TNA,Broad-watch baseline,exit,100.0000,67.8700,67.8700,2026-06-17
URTY,Broad-watch baseline,exit,100.0000,79.1250,79.1250,2026-06-17
VECO,Broad-watch baseline,partial,50.0000,77.4800,77.4800,2026-06-12
VECO,Broad-watch baseline,exit,50.0000,65.0300,65.0300,2026-07-02
WULF,Broad-watch baseline,exit,100.0000,24.0950,24.0950,2026-06-10
CNTA,Broad-watch baseline,partial,50.0000,40.5000,40.5000,2026-06-25
CNTA,Broad-watch baseline,mtm,50.0000,40.5000,40.5000,2026-06-29
FROG,Broad-watch baseline,partial,50.0000,94.8100,94.8100,2026-07-02
FROG,Broad-watch baseline,mtm,50.0000,94.8100,94.8100,2026-07-02
UNIT,Broad-watch baseline,exit,100.0000,11.9200,11.9200,2026-06-17
XMAX,Broad-watch baseline,exit,100.0000,8.4100,8.4100,2026-06-29
TNA,Broad-watch baseline,exit,100.0000,67.8700,67.8700,2026-06-17
URTY,Broad-watch baseline,exit,100.0000,79.1250,79.1250,2026-06-17
VECO,Broad-watch baseline,partial,50.0000,77.4800,77.4800,2026-06-12
VECO,Broad-watch baseline,exit,50.0000,65.0300,65.0300,2026-07-02
WULF,Broad-watch baseline,exit,100.0000,24.0950,24.0950,2026-06-10
ADEA,Broad-watch baseline,exit,100.0000,32.1575,32.1575,2026-07-01
AMN,Broad-watch baseline,exit,100.0000,30.8500,30.8500,2026-06-18
FROG,Broad-watch baseline,partial,50.0000,94.8100,94.8100,2026-07-02
FROG,Broad-watch baseline,mtm,50.0000,94.8100,94.8100,2026-07-02
PBI,Broad-watch baseline,partial,50.0000,17.2400,17.2400,2026-06-15
PBI,Broad-watch baseline,exit,50.0000,17.1300,17.1300,2026-07-02
TNA,Broad-watch baseline,exit,100.0000,67.8700,67.8700,2026-06-17
UNIT,Broad-watch baseline,exit,100.0000,12.2500,12.2500,2026-06-16
URTY,Broad-watch baseline,exit,100.0000,79.1250,79.1250,2026-06-17
WULF,Broad-watch baseline,partial,50.0000,28.9800,28.9800,2026-06-18
WULF,Broad-watch baseline,exit,50.0000,26.7500,27.7800,2026-06-23
XMAX,Broad-watch baseline,exit,100.0000,8.4100,8.4100,2026-06-29
AMN,Broad-watch baseline,exit,100.0000,30.8500,30.8500,2026-06-18
PBI,Broad-watch baseline,partial,50.0000,17.5200,17.5200,2026-06-16
PBI,Broad-watch baseline,exit,50.0000,17.1300,17.1300,2026-07-02
UNIT,Broad-watch baseline,exit,100.0000,12.2500,12.2500,2026-06-16
XMAX,Broad-watch baseline,exit,100.0000,8.4100,8.4100,2026-06-29
AMN,Broad-watch baseline,exit,100.0000,30.8500,30.8500,2026-06-18
